relative_path	size_bytes	sha256
.cargo/config.toml	76	7ab52424b2ee440e8749705aff0a41d35725b8308a54469a82a21fc492e5e288
.dockerignore	396	2cb46d6a3901736d940ffeabcc2b26f0114f0126bb589f823229e998bf44a53d
.github/workflows/ci.yml	4059	a40b01d0b16624bf530d0934cd563cf8a55e8ecea56252b63fa16e2687b99a31
.gitignore	286	2f6309c9a62cf24b8840ddc9bb75f49a504b9775656740bf55d4d55c346a7a7b
Cargo.lock	12590	d8865ac0459dbfa6869c7c8b0cad4b2d6af6be6cec2409d66528109a37942566
Cargo.toml	608	2d98e9793d786ef29b8814eafa5bbb63d746e654a539eead09762ec0e1906f8a
CITATION.cff	1080	37914cdc1a06edaa86cc51064f42273ed2e1fce07855dce56df5c409cba7528b
config/scp1064_event_axes.yml	1544	af8f0d18376726c8f8b3bad41b526ddde74b4f5c679b035f4e13dfe7d84a5bbd
config/ted_claim_boundary_rules.yml	886	3537fd2d9196b791061e73806a3418dfef29073cc47bc28c5ff64d41cfcd9003
config/ted_external_validation_protocol_v1.yaml	7700	4032e79841b0790ac4ff21d5f4a6eadf13beb18314dd2941cc6d1f99e815ff5c
config/ted_gene_set_axes.yml	1618	1e8a97db4a17fe67de053c72cc443e091950eb3e99734327cbcc9d761fbc7713
config/ted_negative_control_axes.yml	594	d6a7139cd01b8814285b273a8dc14a8fe835fa91494bff64df5133ed055951c2
config/ted_preregistration_cards.tsv	2916	1277088adee7a542e4353a1d313a37951f190ff3e2cb5634bbc7425d67d27781
config/ted_upgrade_benchmark_registry.tsv	5986	3d0b54468c8e56afa29b96faf9bb3fc121ae607256421a3ab50fb026913d5fd3
data/processed/ted_known_source/SCP1064/metadata/cell_alignment_table.tsv	43222728	9d54d97d26577e8bf881dae07542a32431cccee29c972ca57b64fd9616b244d9
data/processed/ted_known_source/SCP1064/metadata/perturbation_metadata.tsv	7280685	cfd4ffc8ed4575a31cdb808ace64dda5511f69cb714144c51b5002ce41b0aa50
data/processed/ted_known_source/SCP1064/metadata/protein_feature_metadata.tsv	1747	aad2a8f6f182d39f631a1d94dfd9a2a8d3f99577c9dcd36b067aaa24a2f565ca
data/processed/ted_known_source/SCP1064/metadata/protein_gene_mapping.tsv	372	eb783501a7d8641cdc20b6824e948d79da752db14831d7fb45d3f834736df047
data/processed/ted_known_source/SCP1064/provenance/scp1064_access_audit.md	508	5fea2490c04a6f7f2585a034d1ae95d09e39f82f182c790b6f3c1176e3c71fa5
